id,section,text
TSA-063,T2,Provide security training including incident response to assigned security personnel
TSA-064,T2,Document security training and maintain records per company retention policy
TSA-065,T2,"Conduct periodic security drills or exercises, including announced/unannounced tests"
TSA-066,T2,Conduct or participate in annual security drill or exercise
TSA-067,T2,Develop and implement written post-event report assessing drills and documenting corrections
TSA-068,T2,Implement procedures for responding to security incidents or emergencies
TSA-069,T2,Post bomb threat checklists by telephones at staffed facilities
TSA-070,T2,Develop and document recordkeeping policies and procedures for security information
TSA-071,T2,Retain corporate security plan until superseded or replaced
TSA-072,T2,Retain criticality assessment documents until superseded or replaced
TSA-073,T2,Retain training records until superseded or replaced
TSA-074,T2,Retain security drill reports until superseded or replaced
TSA-075,T2,Retain SVAs until superseded or replaced for critical facilities
TSA-076,T2,Retain site-specific measures until superseded or replaced for critical facilities
TSA-077,T2,Make security information records available to TSA upon request
TSA-078,T2,Conduct outreach to nearby law enforcement agencies
TSA-079,T2,Conduct outreach to neighboring businesses to coordinate security efforts
TSA-080,T2,Conduct outreach to neighboring residences for facility security awareness
TSA-081,7.2,Evaluate pipeline cyber assets and classify as critical or non-critical
TSA-082,T3,Establish and document policies and procedures for configuration information assessment
TSA-083,T3,Track changes made to pipeline cyber assets and assess patch/upgrade impacts
TSA-084,T3,Employ mechanisms to maintain accurate inventory and detect unauthorized components
TSA-085,T3,Develop and maintain comprehensive network/system architecture diagrams
TSA-086,T3,"Review network connections periodically, including remote and third-party connections"
TSA-087,T3,Develop detailed inventory for every endpoint
TSA-088,T3,Review and assess pipeline cyber asset classification every 12 months
TSA-089,T3,Ensure non-critical asset changes to control operations trigger critical asset designation
TSA-090,T3,"Establish and distribute cybersecurity policies, plans, processes, supporting procedures"
TSA-091,T3,"Review and assess cybersecurity policies regularly, not to exceed 36 months"
TSA-092,T3,"Review and assess cybersecurity policies regularly, not to exceed 12 months for enhanced"
TSA-093,T3,"Develop operational framework for coordination, communication, accountability"
TSA-094,T3,Establish process to identify and evaluate vulnerabilities and compensating controls
TSA-095,T3,Ensure threat and vulnerability information from sharing forums available to responsible personnel
TSA-096,T3,Establish and enforce unique accounts for each individual user and administrator
TSA-097,T3,Restrict user physical access to control systems using appropriate controls
TSA-098,T3,"Employ stringent identity and access management practices (authenticators, passwords)"
TSA-099,T3,"Expeditiously modify, delete, or deactivate user accounts for terminated personnel"
TSA-100,T3,Establish and enforce access control policies for local and remote users
TSA-101,T3,Implement controls for approving and enforcing policy for remote/third-party connections
TSA-102,T3,Monitor physical and remote user access to critical pipeline cyber assets
TSA-103,T3,Ensure appropriate segregation of duties in place or apply compensating controls
TSA-104,T3,Change all default passwords upon installation or implement compensating controls
TSA-105,T3,Employ mechanisms to support management of accounts
TSA-106,T3,Ensure all persons requiring access receive cybersecurity awareness training
TSA-107,T3,Provide role-based security training on recognizing indicators of system compromise
TSA-108,T3,Establish and execute cyber-threat awareness program including practical exercises
TSA-109,T3,Establish and implement policies and procedures for data protection measures
TSA-110,T3,Segregate and protect pipeline cyber assets from enterprise networks using firewalls
TSA-111,T3,Regularly validate technical controls comply with cybersecurity policies and report
TSA-112,T3,Implement technical or procedural controls to restrict cyber assets for approved activities
TSA-113,T3,Implement processes to generate alerts and log cybersecurity events for anomalies
TSA-114,T3,Review logs and respond to alerts in timely manner
TSA-115,T3,Monitor for unauthorized access or introduction of malicious code
TSA-116,T3,Conduct cyber vulnerability assessments per risk assessment process
TSA-117,T3,Utilize independent assessors to conduct pipeline cyber security assessments
TSA-118,T3,Establish technical or procedural controls for cyber intrusion monitoring and detection
TSA-119,T3,Perform regular testing of intrusion and malware detection processes and procedures
TSA-120,T3,"Establish policies and procedures for cybersecurity incident handling, analysis, reporting"
TSA-121,T3,Assign specific roles/tasks to individuals and teams for incident response
TSA-122,T3,Establish and maintain cyber-incident response capability
TSA-123,T3,Conduct cybersecurity incident response exercises periodically
TSA-124,T3,Establish and maintain process supporting 24-hour cyber incident response
TSA-125,T3,Report significant cyber incidents to senior management and applicable ISACs
TSA-126,T3,Follow notification criteria in Appendix B for cyber incidents
TSA-127,T3,Ensure response plans include mitigation measures to help prevent further impacts
TSA-128,T3,Establish plan for recovery and reconstitution of cyber assets within business continuity timeframe
TSA-129,T3,Review organization's cyber recovery plan annually and update as necessary
TSA-130,AppB,Notify TSOC via phone at 866-615-5150 or email at TSOC.ST@dhs.gov for security incidents
